,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
46,12,sub-0079_ses-01_run-02-cognitive_ev-stim-0000,79,1,2,cognitive,stim,0,25.31072998046875,5,1,True,high_cue,low_stim,26.667731675599,8.292412910092668,-1,1,1
47,13,sub-0079_ses-01_run-02-cognitive_ev-stim-0001,79,1,2,cognitive,stim,1,70.99529004096985,5,1,True,low_cue,med_stim,26.667731675599,8.292412910092668,-1,1,1
48,14,sub-0079_ses-01_run-02-cognitive_ev-stim-0002,79,1,2,cognitive,stim,2,107.59296989440918,5,1,True,high_cue,high_stim,48.92271289051048,9.954606943555696,1,0,-2
49,15,sub-0079_ses-01_run-02-cognitive_ev-stim-0003,79,1,2,cognitive,stim,3,136.70437002182007,5,1,True,low_cue,high_stim,48.92271289051048,9.954606943555696,1,0,-2
50,16,sub-0079_ses-01_run-02-cognitive_ev-stim-0004,79,1,2,cognitive,stim,4,169.1003999710083,5,1,True,high_cue,low_stim,10.859503235321997,14.147605387001688,-1,-1,1
51,17,sub-0079_ses-01_run-02-cognitive_ev-stim-0005,79,1,2,cognitive,stim,5,200.49603009223938,5,1,True,high_cue,med_stim,10.859503235321997,14.147605387001688,-1,-1,1
52,18,sub-0079_ses-01_run-02-cognitive_ev-stim-0006,79,1,2,cognitive,stim,6,232.19178009033203,5,1,True,low_cue,high_stim,29.23281745752432,21.713935081776437,-1,-1,1
53,19,sub-0079_ses-01_run-02-cognitive_ev-stim-0007,79,1,2,cognitive,stim,7,259.70255994796753,5,1,True,high_cue,med_stim,29.23281745752432,21.713935081776437,-1,-1,1
54,20,sub-0079_ses-01_run-02-cognitive_ev-stim-0008,79,1,2,cognitive,stim,8,294.4995300769806,5,1,True,low_cue,low_stim,68.36911316348208,60.1409838350769,1,1,1
55,21,sub-0079_ses-01_run-02-cognitive_ev-stim-0009,79,1,2,cognitive,stim,9,321.99363017082214,5,1,True,low_cue,low_stim,68.36911316348208,60.1409838350769,1,1,1
56,22,sub-0079_ses-01_run-02-cognitive_ev-stim-0010,79,1,2,cognitive,stim,10,356.60719990730286,5,1,True,high_cue,high_stim,17.630080218819145,19.66926766401706,-1,0,-2
